package_id,weight_kg,volume_cm3,fragility,transport_type,handling_events,distance_km,route_complexity,packaging_quality,weather_condition,temperature_c,humidity_percent,vibration_level,drop_incidents,driver_experience_yrs,time_of_day,delivery_delay_min,fragile_label_handling,road_condition,region,damaged
PCKG00001,19.04,14545,Low,Bike,7,418,2,High,Clear,11,37.3,8.06,2,5,Afternoon,66,Yes,Construction,West India,0
PCKG00002,47.56,13902,Low,Truck,10,719,7,High,Storm,31.1,76.9,3.19,1,10,Evening,105,Yes,Smooth,North-East India,1
PCKG00003,36.73,2367,Low,Truck,9,184,6,Medium,Clear,31.4,53.2,1.17,2,12,Evening,72,Yes,Smooth,North India,0
PCKG00004,30.13,18490,Low,Van,12,1492,1,High,Rain,38.5,24.2,3.56,1,12,Afternoon,82,Yes,Potholes,North-East India,1
PCKG00005,8.22,11585,High,Van,4,787,3,Medium,Storm,9.7,38.6,3.06,1,10,Morning,1,Yes,Smooth,West India,0
PCKG00006,8.22,7593,Low,Truck,8,905,4,Low,Clear,39.9,88.7,9.89,0,1,Morning,118,No,Construction,East India,0
PCKG00007,3.38,15253,Low,Bike,1,531,10,High,Storm,8.5,73.8,9.71,3,1,Evening,18,Yes,Potholes,South India,1
PCKG00008,43.38,5519,Low,Truck,4,5,7,Low,Fog,15.3,20.3,7.37,2,8,Afternoon,0,Yes,Smooth,Central India,1
PCKG00009,30.26,14023,Medium,Truck,4,275,3,Medium,Clear,26.8,78.7,8.29,2,8,Afternoon,116,No,Smooth,North-East India,0
PCKG00010,35.55,1274,Low,Truck,2,488,4,High,Clear,2,33.5,2.54,2,14,Afternoon,70,Yes,Smooth,West India,0
PCKG00011,1.52,16868,Low,Truck,11,960,7,High,Storm,7,43.2,5.38,3,13,Night,73,Yes,Construction,Central India,0
PCKG00012,48.51,9239,Low,Air,11,1076,4,Low,Rain,27.8,28.3,9.98,1,9,Evening,113,No,Potholes,West India,0
PCKG00013,41.71,12916,Low,Truck,3,698,9,Low,Rain,38.8,20.7,3.23,2,6,Evening,68,No,Smooth,North India,0
PCKG00014,11.01,4814,High,Bike,3,1211,6,High,Storm,28,55.3,9.86,2,13,Afternoon,103,Yes,Smooth,North India,1
PCKG00015,9.5,13703,Low,Air,9,844,2,High,Rain,33.8,40,1.88,3,3,Night,6,No,Smooth,West India,0
PCKG00016,9.58,15559,Medium,Truck,7,377,1,High,Rain,-3.3,45.2,6.2,4,13,Afternoon,53,No,Construction,Central India,0
PCKG00017,15.56,9728,High,Truck,2,543,8,High,Clear,21,31.8,7.82,3,14,Night,37,Yes,Smooth,West India,0
PCKG00018,26.48,12546,Medium,Air,9,674,3,High,Rain,36.1,76.5,5.93,3,3,Afternoon,115,No,Smooth,South India,1
PCKG00019,21.88,9398,High,Truck,8,576,7,Medium,Fog,25.7,32.1,3.09,4,1,Afternoon,9,Yes,Smooth,West India,0
PCKG00020,14.92,17935,High,Truck,6,70,4,High,Clear,25.4,56.2,8.14,0,12,Evening,23,Yes,Smooth,Central India,1
PCKG00021,30.79,10208,Low,Truck,6,56,3,Low,Fog,4.1,52.9,2.02,3,9,Morning,5,Yes,Smooth,West India,0
PCKG00022,7.4,16915,Medium,Truck,12,474,9,High,Clear,33.8,84.4,4.3,3,12,Morning,107,Yes,Potholes,Central India,0
PCKG00023,14.96,16126,Low,Air,2,247,6,Medium,Clear,33.9,89.1,2.8,2,5,Morning,105,Yes,Smooth,West India,0
PCKG00024,18.63,8505,Low,Bike,13,341,6,High,Clear,22.6,83.4,4.95,1,6,Morning,38,Yes,Potholes,West India,0
PCKG00025,23.08,4987,High,Truck,3,760,6,High,Clear,14.2,71.3,3.87,1,6,Morning,6,Yes,Potholes,North India,0
PCKG00026,39.37,8419,Medium,Bike,6,1149,3,Medium,Clear,32.1,50.1,1.79,3,12,Morning,118,Yes,Construction,East India,0
PCKG00027,10.38,16611,Medium,Van,14,558,6,High,Clear,15.9,29.1,7.42,1,11,Night,93,No,Construction,West India,1
PCKG00028,25.95,4939,Medium,Truck,12,1073,4,High,Clear,32,80.9,1.77,2,5,Night,47,Yes,Potholes,Central India,0
PCKG00029,29.82,10727,Low,Truck,3,56,2,Medium,Fog,16.8,70.1,5.46,3,11,Afternoon,90,Yes,Construction,East India,1
PCKG00030,2.8,16219,High,Van,11,1179,3,High,Clear,21.1,29.2,8.05,3,5,Afternoon,32,Yes,Smooth,East India,1
PCKG00031,30.57,7393,Low,Van,11,417,4,Medium,Clear,28.7,26.2,4.83,3,11,Morning,66,No,Potholes,South India,0
PCKG00032,8.94,13023,Low,Truck,7,573,1,Medium,Fog,6.9,67.2,8.87,2,4,Morning,57,No,Smooth,South India,1
PCKG00033,3.72,5290,High,Truck,14,1237,7,High,Storm,6.1,83.4,4.29,1,7,Night,38,Yes,Potholes,West India,0
PCKG00034,47.47,2631,Low,Truck,5,12,5,High,Storm,25.1,35,9.71,3,4,Evening,63,Yes,Smooth,Central India,0
PCKG00035,48.3,15990,Medium,Truck,4,950,9,Medium,Clear,37.9,48.8,0.25,4,8,Evening,3,Yes,Gravel,West India,0
PCKG00036,40.52,2430,Medium,Bike,8,1419,6,High,Rain,15.1,87.5,7.91,3,6,Evening,36,Yes,Smooth,Central India,0
PCKG00037,15.58,5792,Low,Truck,11,251,8,Low,Clear,35.4,86.2,7.08,1,1,Morning,68,Yes,Potholes,North-East India,1
PCKG00038,5.33,17175,High,Truck,11,1423,9,Medium,Rain,18.3,68.9,6.11,0,11,Night,101,Yes,Potholes,East India,1
PCKG00039,34.37,7256,Medium,Truck,2,838,6,Low,Clear,38.8,53.2,2.96,0,10,Night,30,Yes,Construction,North India,0
PCKG00040,22.29,19474,Low,Van,3,1367,7,Medium,Rain,30.6,46.1,6.11,0,2,Evening,39,Yes,Potholes,West India,1
PCKG00041,6.54,19605,Low,Truck,10,416,6,High,Clear,33.7,47.4,5.95,4,7,Night,44,Yes,Construction,East India,0
PCKG00042,25.01,5731,High,Truck,12,956,6,High,Fog,25.6,55.3,1.49,0,12,Evening,85,Yes,Potholes,West India,1
PCKG00043,2.2,1299,Low,Van,4,1373,2,High,Clear,34.1,68.1,8.8,2,8,Morning,40,No,Construction,Central India,0
PCKG00044,45.51,14249,High,Bike,12,847,5,Low,Clear,21.7,55.8,5.35,2,14,Morning,71,Yes,Potholes,West India,1
PCKG00045,13.31,9294,Low,Truck,10,1324,6,Medium,Storm,20.5,36.1,0.89,0,7,Morning,31,Yes,Construction,North India,0
PCKG00046,33.29,2465,Medium,Truck,14,239,10,Medium,Rain,34.3,72.7,3.92,0,1,Night,79,Yes,Construction,West India,0
PCKG00047,15.93,14297,High,Truck,6,646,5,High,Clear,-4.3,51.7,2.17,1,12,Afternoon,13,No,Smooth,East India,0
PCKG00048,26.24,1108,Low,Bike,5,592,4,Low,Clear,16.5,60.1,1.69,2,9,Morning,47,Yes,Smooth,North-East India,0
PCKG00049,27.56,17469,Medium,Truck,5,1473,6,Medium,Clear,34.2,74.3,9.46,1,4,Night,44,Yes,Gravel,East India,1
PCKG00050,9.65,3204,Medium,Truck,7,237,6,High,Clear,3.8,46.9,6.75,1,11,Evening,99,Yes,Smooth,East India,0
PCKG00051,48.49,2983,Medium,Truck,8,746,8,Low,Clear,38.1,85.1,3.02,0,8,Morning,69,Yes,Construction,North India,1
PCKG00052,38.87,3926,Medium,Truck,6,1001,8,Medium,Storm,28.3,55.7,6.78,1,7,Afternoon,14,Yes,Potholes,North India,1
PCKG00053,47.01,19225,Medium,Bike,14,314,10,Medium,Clear,29.3,69.3,8.03,0,3,Afternoon,10,Yes,Potholes,North-East India,0
PCKG00054,44.79,14017,Medium,Truck,3,948,1,Low,Fog,24.9,72.9,3.17,0,13,Evening,89,Yes,Potholes,North India,1
PCKG00055,30.1,16127,High,Truck,4,912,2,Medium,Clear,15.1,45.5,9.85,3,11,Afternoon,84,Yes,Smooth,South India,1
PCKG00056,46.13,8254,Medium,Van,14,705,1,High,Clear,15.7,38.1,8.81,2,6,Night,16,Yes,Potholes,North-East India,0
PCKG00057,4.88,7058,Low,Bike,1,482,10,High,Storm,32.8,84.6,7.97,4,10,Evening,26,Yes,Smooth,East India,1
PCKG00058,10.2,5072,High,Truck,14,340,7,Medium,Clear,1.3,41.9,7.15,2,2,Afternoon,30,Yes,Smooth,East India,0
PCKG00059,2.74,9873,Low,Bike,11,56,8,Medium,Clear,18.5,27.7,0.39,4,2,Afternoon,77,Yes,Potholes,North India,0
PCKG00060,16.6,11261,Low,Truck,14,550,3,Medium,Clear,8.9,54.7,0.22,3,2,Morning,115,Yes,Smooth,South India,0
PCKG00061,19.74,12820,Low,Air,5,305,3,Medium,Clear,39.3,77.7,1.65,3,5,Night,32,No,Potholes,North-East India,0
PCKG00062,13.93,5514,Low,Air,13,645,7,Medium,Clear,-4.8,39.7,9.17,2,12,Afternoon,1,Yes,Gravel,North-East India,1
PCKG00063,41.52,18999,Low,Bike,12,1271,8,Medium,Clear,-2.1,54.6,2.17,3,12,Afternoon,22,Yes,Smooth,South India,0
PCKG00064,18.16,3810,Low,Air,10,360,6,Medium,Clear,38.5,45.3,7.01,3,8,Morning,61,Yes,Smooth,North India,1
PCKG00065,14.41,19330,Low,Truck,8,824,8,Medium,Clear,19.5,21.7,9.8,0,2,Morning,101,Yes,Smooth,South India,0
PCKG00066,27.36,790,Medium,Air,3,839,2,Medium,Fog,1.2,29.6,9.37,3,2,Afternoon,53,Yes,Smooth,North India,0
PCKG00067,7.48,9882,Low,Truck,10,592,7,High,Clear,15.2,75.8,4,1,7,Night,36,Yes,Smooth,East India,0
PCKG00068,40.21,7001,Low,Truck,13,1470,5,Low,Storm,9.5,85.4,6.81,3,12,Morning,89,Yes,Smooth,West India,1
PCKG00069,4.19,9258,Low,Van,4,881,6,Low,Clear,36,20.3,7.59,4,7,Afternoon,1,Yes,Construction,East India,0
PCKG00070,49.35,11628,Low,Bike,13,735,7,High,Clear,25.9,80.3,5.5,2,9,Afternoon,35,Yes,Gravel,East India,0
PCKG00071,38.73,8994,Low,Van,4,1147,9,Low,Rain,0.9,70.7,5.23,4,13,Afternoon,90,Yes,Construction,Central India,1
PCKG00072,10.34,8590,Medium,Truck,6,1437,7,High,Clear,19.1,67.9,2.24,0,6,Night,12,Yes,Gravel,East India,0
PCKG00073,0.77,14788,High,Truck,9,1399,1,Medium,Clear,1.1,50.1,6.76,3,3,Night,3,Yes,Potholes,Central India,0
PCKG00074,40.87,13875,High,Truck,10,741,5,Low,Clear,24.9,43.2,2.94,1,0,Morning,87,Yes,Construction,South India,0
PCKG00075,35.49,16749,High,Bike,3,1101,4,Low,Clear,27.7,48.7,3.09,0,4,Morning,114,No,Smooth,North India,1
PCKG00076,36.59,5374,Low,Truck,4,1477,8,Medium,Rain,20.3,62.1,2.66,2,12,Afternoon,87,Yes,Construction,South India,0
PCKG00077,38.68,12386,Low,Truck,6,828,7,Low,Snow,38.5,86.3,0.66,3,11,Morning,10,Yes,Gravel,North-East India,1
PCKG00078,4.17,11911,Low,Truck,6,1499,4,High,Storm,37.5,34.5,8.44,2,14,Evening,39,No,Smooth,South India,1
PCKG00079,18.24,7710,Medium,Air,7,160,3,Medium,Clear,4.3,88.2,8.63,0,8,Morning,16,Yes,Construction,West India,0
PCKG00080,6.24,9978,Low,Truck,1,775,6,Medium,Clear,-5,36.3,7.24,1,6,Night,38,Yes,Smooth,North India,0
PCKG00081,43.22,6619,Medium,Air,14,938,8,Low,Fog,24.8,79.2,9.28,2,12,Night,86,Yes,Potholes,North-East India,1
PCKG00082,31.35,3266,Low,Truck,14,580,3,High,Clear,16.4,66.2,6.31,3,2,Night,38,Yes,Construction,West India,0
PCKG00083,16.88,4669,Low,Truck,9,1338,5,High,Clear,10.1,72.2,6.4,4,7,Morning,99,Yes,Construction,North-East India,0
PCKG00084,3.65,2558,High,Truck,2,1064,10,High,Storm,36.3,78.2,8.88,4,10,Morning,99,Yes,Construction,West India,0
PCKG00085,15.89,13820,Medium,Van,14,252,1,Low,Clear,39,20.8,2.09,2,4,Night,106,Yes,Smooth,West India,0
PCKG00086,16.6,13384,High,Truck,4,1456,10,Medium,Clear,36.9,70.7,4.35,1,9,Night,68,No,Smooth,East India,1
PCKG00087,36.62,19037,Medium,Truck,3,1072,10,High,Clear,17.5,89.7,7.04,0,1,Evening,29,Yes,Gravel,South India,0
PCKG00088,32.06,14729,High,Air,3,457,8,High,Clear,26.7,54.6,2.69,3,1,Afternoon,70,Yes,Potholes,North India,0
PCKG00089,44.42,1515,Medium,Truck,11,1147,7,Low,Clear,2.7,57.9,2.29,2,5,Afternoon,61,No,Smooth,East India,1
PCKG00090,23.87,17743,High,Air,5,1377,8,High,Clear,37.8,27.4,8.98,3,2,Evening,63,Yes,Gravel,West India,1
PCKG00091,6.42,17322,Low,Truck,7,697,2,Low,Clear,7.8,43.9,9.96,1,5,Morning,45,Yes,Smooth,West India,0
PCKG00092,35.81,9145,Medium,Truck,13,913,7,Medium,Clear,3.7,62.9,3.86,4,2,Morning,54,Yes,Gravel,North-East India,1
PCKG00093,38.16,11924,Medium,Truck,12,944,4,High,Fog,-2.3,28.4,2.37,0,3,Night,60,Yes,Smooth,West India,0
PCKG00094,28.28,19534,Low,Truck,7,1416,2,High,Storm,19.8,43.3,4.04,4,14,Morning,1,Yes,Gravel,West India,1
PCKG00095,38.66,10880,High,Air,14,1098,9,Medium,Storm,37.7,44.4,3.04,0,9,Night,103,Yes,Construction,Central India,1
PCKG00096,24.94,18154,High,Air,14,951,5,High,Rain,1.1,76.9,8.22,4,11,Night,117,Yes,Smooth,Central India,1
PCKG00097,26.38,2119,Low,Bike,7,458,7,Medium,Rain,0.4,57.6,9.01,2,12,Night,63,No,Smooth,North-East India,0
PCKG00098,21.66,4226,Low,Van,3,271,4,Low,Clear,7.3,58.8,3.91,1,13,Evening,29,No,Construction,West India,0
PCKG00099,1.76,9095,Low,Truck,9,735,10,Medium,Clear,24.9,39.8,6,4,14,Morning,41,Yes,Construction,Central India,0
PCKG00100,5.84,11903,High,Truck,6,1466,4,Medium,Clear,19.7,41.9,0.79,1,5,Evening,92,Yes,Smooth,North India,0
PCKG00101,2.06,16416,Medium,Bike,11,370,3,Medium,Fog,-0.7,51.6,4.62,4,6,Morning,45,Yes,Smooth,West India,0
PCKG00102,32,19771,Low,Bike,12,1215,1,Medium,Rain,14.9,77.2,0.07,3,12,Afternoon,78,Yes,Smooth,Central India,1
PCKG00103,16.06,8083,Medium,Truck,11,1255,2,High,Fog,-2,42.2,6.71,4,0,Morning,10,Yes,Smooth,Central India,1
PCKG00104,25.67,1425,Low,Bike,10,65,9,Medium,Clear,33.3,42.5,1.76,0,8,Evening,70,Yes,Smooth,South India,1
PCKG00105,45.42,16123,Medium,Truck,11,172,1,Medium,Rain,-0.2,59.8,8.78,3,6,Afternoon,18,Yes,Potholes,South India,0
PCKG00106,12.84,12285,Low,Air,8,136,5,High,Snow,16.2,78.8,6.3,2,8,Afternoon,93,Yes,Smooth,North India,0
PCKG00107,20.81,4372,Low,Air,14,159,2,High,Clear,18,55.3,9.28,2,0,Afternoon,56,No,Gravel,North-East India,0
PCKG00108,37.9,10149,Medium,Bike,14,788,4,Low,Rain,18.9,29,9.38,2,5,Evening,63,No,Construction,West India,0
PCKG00109,11.83,14975,Low,Truck,1,726,7,High,Clear,22.4,84.1,1.69,1,13,Morning,37,Yes,Smooth,South India,0
PCKG00110,4.31,15523,Low,Bike,4,11,5,Low,Clear,26.6,53,5.13,2,2,Morning,6,Yes,Gravel,West India,0
PCKG00111,14.84,10243,Low,Air,7,527,1,Medium,Rain,-4.8,74.2,1.95,4,3,Night,117,Yes,Smooth,South India,1
PCKG00112,8.48,6452,Low,Truck,12,255,3,Low,Clear,-3.6,23,4.53,3,13,Night,35,Yes,Potholes,North-East India,0
PCKG00113,46.52,19488,Low,Truck,9,696,10,Medium,Fog,22.5,78.5,4.5,0,2,Evening,13,Yes,Smooth,West India,1
PCKG00114,40.5,13436,High,Van,12,1290,9,High,Clear,3.2,24.1,7.36,2,4,Morning,87,Yes,Smooth,Central India,0
PCKG00115,31.85,8461,High,Truck,3,124,1,Medium,Clear,32.4,87.7,9.76,0,13,Night,68,Yes,Potholes,Central India,0
PCKG00116,43.64,5969,High,Truck,12,52,10,High,Clear,23.2,82.3,6.29,1,1,Evening,74,Yes,Gravel,North-East India,0
PCKG00117,40.28,14757,High,Truck,11,1097,4,Low,Storm,39.1,38.7,8.16,1,1,Morning,111,Yes,Smooth,North India,1
PCKG00118,9.74,5223,Low,Bike,12,1290,5,Medium,Storm,27.8,35.6,4.04,0,6,Afternoon,38,Yes,Smooth,East India,0
PCKG00119,44.68,3848,Low,Van,6,746,10,Medium,Clear,-0.9,74.8,0.73,4,3,Afternoon,26,Yes,Smooth,Central India,1
PCKG00120,27.2,10832,Low,Bike,8,1473,3,High,Storm,2.7,30.6,5.15,0,3,Evening,25,Yes,Smooth,South India,0
PCKG00121,40.47,6155,High,Truck,11,1259,3,Medium,Clear,-2.9,80.8,9.04,3,12,Evening,79,Yes,Smooth,North-East India,0
PCKG00122,44.86,12764,Medium,Bike,3,228,1,Low,Clear,28.4,22.2,2.4,2,7,Evening,113,Yes,Construction,West India,1
PCKG00123,16.24,2800,Low,Bike,6,461,6,Medium,Storm,0.7,65.6,2.63,4,10,Afternoon,72,Yes,Smooth,West India,0
PCKG00124,5.95,13271,Low,Bike,9,723,4,Medium,Storm,24.9,38.2,1.05,0,6,Morning,71,Yes,Smooth,North India,0
PCKG00125,11.78,6024,Medium,Truck,9,857,8,Low,Clear,20,79,9.97,3,1,Night,30,Yes,Potholes,Central India,0
PCKG00126,21.64,505,Medium,Bike,6,1394,6,Low,Clear,23.5,46.4,4.15,0,10,Evening,13,Yes,Potholes,East India,0
PCKG00127,40.99,2975,High,Truck,5,953,3,Medium,Storm,17.9,50.3,2.99,2,4,Night,59,Yes,Smooth,East India,1
PCKG00128,43.11,18705,Low,Truck,1,32,7,High,Clear,-4.4,30.2,9.27,1,2,Night,7,Yes,Smooth,East India,1
PCKG00129,0.84,17413,High,Bike,3,881,3,Medium,Storm,6.4,63.8,8.11,0,1,Night,37,Yes,Smooth,East India,1
PCKG00130,25.78,5055,Low,Van,3,905,9,Medium,Clear,34.8,52.9,8.77,3,13,Evening,42,Yes,Potholes,North-East India,0
PCKG00131,21.16,15678,Medium,Truck,12,853,8,Low,Rain,36.8,20.6,9.5,0,4,Night,92,Yes,Smooth,Central India,1
PCKG00132,11.49,12367,High,Van,4,105,3,Medium,Clear,-0.6,71.2,8.57,2,2,Afternoon,31,No,Smooth,Central India,1
PCKG00133,6.43,19433,High,Truck,5,62,2,Medium,Clear,37.9,29,9.86,3,2,Night,83,Yes,Smooth,East India,1
PCKG00134,17.21,7785,Low,Air,11,1052,3,Low,Clear,25.2,56.8,6.39,1,7,Afternoon,44,Yes,Smooth,West India,0
PCKG00135,47.17,13788,Low,Truck,8,419,4,Low,Clear,36.5,57.7,2.41,2,14,Night,116,Yes,Construction,West India,0
PCKG00136,16.5,1739,Low,Truck,13,1255,3,Low,Clear,13.1,41,1.67,0,2,Evening,85,Yes,Smooth,North-East India,0
PCKG00137,26.18,8227,Low,Bike,11,1197,9,High,Clear,-0.4,36,6.02,4,6,Afternoon,85,Yes,Smooth,West India,0
PCKG00138,35.3,19294,Medium,Bike,9,1274,10,Medium,Clear,8.6,41.8,3.59,0,7,Afternoon,58,Yes,Smooth,South India,0
PCKG00139,18.5,11010,High,Air,12,367,2,Medium,Clear,26,47.9,1.31,1,10,Morning,0,No,Gravel,Central India,0
PCKG00140,48.6,6114,Low,Bike,14,1493,8,Low,Clear,30.8,85.4,7.97,0,11,Morning,32,Yes,Potholes,West India,1
PCKG00141,48.14,2845,Low,Bike,14,1458,7,High,Clear,-2.7,66.8,3.5,4,4,Evening,104,Yes,Smooth,Central India,0
PCKG00142,12.96,14219,Low,Van,7,425,1,Medium,Clear,16.9,87.6,4.45,1,4,Afternoon,100,Yes,Construction,East India,0
PCKG00143,25.11,13075,High,Truck,13,25,6,Low,Fog,-2.1,25.9,6.12,1,2,Morning,30,Yes,Smooth,Central India,1
PCKG00144,15.39,7792,High,Truck,10,640,6,High,Rain,33.9,23.2,4.02,0,10,Morning,102,No,Construction,East India,1
PCKG00145,14.6,19043,Low,Truck,6,1397,9,Medium,Clear,16.4,24.1,8.66,2,6,Evening,78,Yes,Potholes,North-East India,1
PCKG00146,2.33,933,Low,Truck,3,468,10,High,Clear,36.2,80.1,9.82,1,5,Afternoon,5,No,Smooth,North India,0
PCKG00147,30.67,6423,Medium,Air,9,101,8,High,Clear,-1.5,78.4,3.85,3,11,Afternoon,115,No,Smooth,Central India,1
PCKG00148,25.38,18461,Medium,Truck,10,1381,7,High,Storm,9.9,50.7,1.78,1,13,Evening,32,Yes,Potholes,South India,0
PCKG00149,3.05,6758,Low,Truck,1,1123,7,Medium,Snow,25.4,50.5,2.78,3,6,Night,69,Yes,Potholes,Central India,0
PCKG00150,14.29,5419,High,Truck,9,28,5,Low,Clear,8.2,49.9,6.74,2,9,Evening,74,Yes,Construction,Central India,0
PCKG00151,45.46,10917,High,Bike,3,384,2,Medium,Clear,32.9,86.1,0.82,4,3,Morning,46,Yes,Construction,West India,0
PCKG00152,12.36,16564,Medium,Truck,9,400,10,Medium,Clear,39.4,38.3,6.75,3,2,Morning,85,No,Potholes,North India,0
PCKG00153,7.67,2511,Medium,Truck,13,1432,5,Low,Clear,7.7,70.3,5.28,3,6,Evening,17,Yes,Smooth,West India,0
PCKG00154,24.73,18889,Low,Bike,10,1161,1,Medium,Clear,11.2,27.7,0.45,4,10,Evening,117,Yes,Smooth,East India,1
PCKG00155,49.29,16004,Medium,Air,1,58,10,Medium,Clear,38.5,38.3,4.11,1,2,Evening,73,Yes,Smooth,North India,1
PCKG00156,12.48,4034,Low,Truck,8,1320,6,Low,Clear,11.1,61.9,2.31,3,2,Afternoon,119,Yes,Smooth,North India,1
PCKG00157,33.77,14384,Low,Bike,6,1018,2,Low,Clear,20,61.8,1.3,3,3,Night,62,Yes,Smooth,North-East India,1
PCKG00158,38.2,8007,Low,Truck,14,1140,1,High,Fog,29.6,58.8,9.41,4,10,Afternoon,91,Yes,Smooth,North India,1
PCKG00159,12.26,8345,Low,Van,9,426,1,High,Clear,14.7,28.6,2.91,1,9,Morning,41,No,Construction,Central India,0
PCKG00160,36.55,15774,Low,Truck,4,135,1,Medium,Clear,11.8,72.8,4.94,0,0,Morning,89,Yes,Construction,West India,1
PCKG00161,18.71,19274,Medium,Van,12,424,4,Low,Clear,17.3,69.8,6.12,3,14,Evening,81,No,Gravel,East India,1
PCKG00162,31.8,2970,Medium,Van,5,1306,5,High,Clear,30.1,67.7,6.29,2,1,Evening,7,No,Smooth,Central India,0
PCKG00163,31.86,8702,Medium,Air,6,780,5,Low,Fog,9,29.1,3.81,4,13,Night,5,Yes,Potholes,South India,1
PCKG00164,27.02,9878,Low,Truck,12,779,1,Medium,Clear,10.8,35.5,2.7,3,2,Evening,118,Yes,Smooth,South India,0
PCKG00165,4.97,7838,Low,Bike,9,1096,6,Medium,Clear,3.5,83.8,5.65,1,11,Morning,89,Yes,Potholes,South India,0
PCKG00166,41.85,7582,High,Truck,6,1431,3,Low,Clear,26.6,53.8,7.95,2,13,Night,46,Yes,Smooth,West India,1
PCKG00167,16.38,1519,Low,Air,9,879,4,Medium,Rain,35.5,49.3,8.95,0,10,Morning,30,Yes,Construction,Central India,0
PCKG00168,9.73,13868,High,Air,2,179,5,High,Clear,3.4,81.1,5.91,2,5,Morning,96,Yes,Smooth,North India,0
